"","Tree_ID","best_iteration","quality_0","quality_1","quality_2","quality_3","quality_4","quality_5","quality_6","quality_7","quality_8","quality_9","times_outlier_0","times_outlier_1","times_outlier_2","times_outlier_3","times_outlier_4","times_outlier_5","times_outlier_6","times_outlier_7","times_outlier_8","times_outlier_9"
"73","1312",6,0.695192006133544,2.11017158723467,1.37822960133732,NA,1.80538082778046,NA,2.32721954770755,NA,0.459197383228206,NA,0,0,0,2,0,5,0,5,0,1
"74","1314",0,2.68008176051931,NA,0.510855848589501,1.9311811926744,NA,NA,NA,1.95329791115745,NA,NA,0,3,0,0,1,2,1,0,1,1
"75","1317",0,2,NA,NA,NA,NA,1,NA,NA,NA,NA,0,1,2,2,1,0,5,2,1,2
"76","1324",4,NA,NA,1,2,2.43222835186727,NA,NA,1.52792684030068,NA,NA,1,2,0,0,0,6,3,0,2,2
"77","1328",5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2,2,7,2,5,1,10,6,4,2
"78","1339",8,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,0,1,1,6,7,1,2,0,1
"79","134",7,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,4,5,1,1,7,2,7,0,1,5
"80","1344",7,1.51906927684656,1,NA,NA,NA,NA,0.890166884506743,1.75166287529841,NA,NA,0,0,1,1,1,2,0,0,7,2
"81","135",9,NA,NA,NA,NA,1.01773631537214,1.59305598012325,NA,NA,NA,2,1,1,1,2,0,0,1,4,7,0
"82","1356",8,NA,2.18305538272331,NA,1.55078014236852,0.721727370509794,NA,0.767382846456142,NA,2.61188564964865,NA,1,0,1,0,0,15,0,4,0,4
"83","1359",9,0,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,1,2,1,1,2,1,4,0
"84","1361",6,0,NA,NA,NA,NA,NA,3,NA,NA,NA,0,2,3,3,5,1,0,2,4,1
"85","1364",7,NA,NA,NA,NA,1,NA,NA,2,NA,NA,2,1,1,7,0,2,1,0,2,1
"86","1366",8,NA,NA,NA,NA,NA,NA,NA,1.67320839349236,2,1,1,4,3,4,3,1,6,0,0,0
"87","137",8,1.14629116405826,NA,NA,2.03464800772308,NA,NA,0,2.32696649683427,2.52344060917055,1.38211797484159,1,16,3,1,2,2,1,1,1,1
"88","1370",8,NA,NA,2.54270330821333,NA,NA,NA,0.357132555937268,NA,2.67107483868766,0.696248955143213,1,11,0,5,1,1,0,9,0,0
"89","1377a",8,NA,NA,1,NA,NA,NA,NA,NA,2,NA,3,10,0,1,4,1,2,1,0,2
"90","1377b",9,1.70708304238113,NA,NA,NA,NA,0.0748436147929762,1.48921711614924,NA,NA,2.64938905596441,0,4,1,7,1,0,0,5,1,0
"91","1384",4,1.52751553881096,0.242264311053207,NA,NA,1.74574283418143,1.45650810019942,NA,NA,NA,NA,0,0,12,4,0,0,2,7,6,7
"92","138a",2,NA,NA,2,1,NA,NA,NA,NA,NA,NA,2,8,0,0,4,1,2,2,1,1
"93","138b",5,1.64374504876815,0.0667887264740282,NA,1.74053766456705,NA,2.36320130345855,NA,NA,NA,NA,0,0,6,0,6,0,4,2,4,2
"94","1390a",6,NA,NA,1.18776326987851,NA,NA,NA,1.83381472608099,NA,1.44434678281752,NA,2,1,0,6,3,4,0,6,0,5
"95","1390b",2,NA,NA,2.18342815283654,NA,NA,NA,1,0.846385921071588,NA,NA,6,3,0,11,10,3,0,0,1,3
"96","1391",7,NA,0.432087316688605,NA,2,NA,0.383050935315141,NA,2.06318671768725,1.17405937812697,NA,5,0,3,0,1,0,2,0,0,1
"97","1393",4,0,NA,NA,NA,3,NA,NA,NA,NA,NA,0,9,1,5,0,3,1,1,1,1
"98","1395",9,NA,NA,NA,NA,NA,1.57961297386701,1.16412562406173,NA,NA,2,3,6,1,1,1,0,0,4,2,0
"99","1399",8,NA,0.554046068659236,NA,NA,NA,NA,NA,1.73639409358648,2.02558333625424,2,8,0,5,4,2,1,1,0,0,0
"100","139a",3,NA,1.27079442556592,2.75045473632368,2.96607669772758,NA,NA,0.385466371914241,NA,2.00118579314477,0.901531484049957,3,0,0,0,2,3,0,2,0,0
"101","139b",7,NA,NA,NA,1,NA,NA,NA,2,NA,NA,1,1,2,0,3,1,2,0,7,1
"102","1407",2,NA,0.755869085640495,1.88347079072251,NA,NA,NA,1.68795681418229,1.09547465113359,NA,NA,4,0,0,1,2,2,0,0,5,2
"103","1412",6,NA,NA,NA,NA,NA,0,3,NA,NA,NA,1,1,1,1,5,0,0,1,1,5
"104","1417",8,0.860072428641449,NA,NA,NA,2.58818460840008,NA,1.50055493163906,NA,2.65515064363403,1.5323708710279,0,8,1,2,0,1,0,7,0,0
"105","1423",4,NA,0.0771743024610722,0.476163742986686,NA,1.90275350580226,1.89919288874796,NA,1.25803896077845,NA,NA,2,0,0,2,0,0,20,0,8,2
"106","1427",2,NA,0.947095982739811,2.39600144751709,NA,0.834600294865012,NA,NA,1.66591388789329,2.21230729036789,NA,6,0,0,1,0,3,2,0,0,1
"107","1428",7,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,1,1,15,1,4,5,0,2,7
"108","1436a",7,NA,1.92286335494292,NA,1.69568138002293,NA,NA,NA,2.02811828637138,1,NA,1,0,1,0,3,4,11,0,0,2
"109","1436b",8,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,2,3,4,0,10,1,1,0,3
