"","Tree_ID","species","latin_name","common_name","stem_count","stemlocx_m","stemlocy_m","VerticalCrownProjectedArea_pts_m2","Dead","QSM_iteration","height_m","tot_volume_m3","tot_length_m","DBH_QSM_m","Vol_QSM_D0_25mm_m3","Vol_QSM_D25_50mm_m3","Vol_QSM_D50_75mm_m3","Vol_QSM_D75_100mm_m3","Vol_QSM_D100_200mm_m3","Vol_QSM_D200mm_m3","A_w","alpha_w","M_w","mu_w","A_l","alpha_l","M_l","mu_l","root_A","root_alpha","root_M","root_mu","n_leaves","n_innerN","B1I","B2I","CherryI","Coll_likeI_ln","maxDepth","maxWidth","modMaxDiffW","IbasedI_meanP","IbasedI_meanW","SackinI","sshapeI","totPathL","totalCophI","VarLDI","AvgLDI","AvgVertD","totIntPathL","maxWoMaxD","rQuartetI_4rt","Coll_likeI_e_sqrt","resolution_n"
"789","8423","Unknown","Unknown","Unknown",1,25.8868992639961,179.989551771347,8.78336624107002,"N",7,4.97398200496215,0.0291522341927537,92.1032689831214,0.0415986300873009,0.00983019122734358,0.015575756457381,0.00374628650802907,0,0,0,0.404973495541118,0.387546818382211,0.35063171010467,0.346296125363591,0.358847106061759,0.336965084185902,0.286762503897225,0.281657774087671,0.249749004967776,0.249749004967776,0.247160759259527,0.247160759259527,159,112,55.0394423988464,5.02415660260201,75,2848.91411493462,21,24,13,0.788298599135464,0.830620578463016,1836,260.997256988975,2966,49472,28.7131838139314,11.5471698113208,10.9446494464945,1130,1.14285714285714,66.2445865427322,117.718642097256,0.708860759493671
"790","8425","Unknown","Unknown","Unknown",1,25.7386801995707,175.139777780778,9.73856767738003,"N",2,4.49392811414025,0.0269305697272697,87.8467107441636,0.0449704720974699,0.00984262979151578,0.0145946335487692,0.00249330638698464,0,0,0,0.451893713530793,0.439194009850896,0.396698638359367,0.393268054570356,0.368913302453726,0.351918559372246,0.303867346375077,0.29952708827246,0.508080162739041,0.508080162739041,0.486500820831604,0.486500820831604,162,123,59.320377647173,2.59526617056445,75,4407.57479728206,25,35,12,0.700136304249375,0.721355051029572,2616,301.135531294197,4385,109283,23.9163237311385,16.1481481481481,15.3859649122807,1769,1.4,68.2946851476336,144.953732296621,0.763975155279503
"791","8426","Unknown","Unknown","Unknown",1,24.4196454253938,172.746181349877,10.21819765171,"N",7,9.39972785322613,0.0660471379478793,155.251176670756,0.0628253269984631,0.0170791665582169,0.027507019050666,0.0189836338816092,0.00247731845738728,0,0,0.42006754295388,0.407849929938382,0.366001652386589,0.362768142237965,0.380648185516866,0.360040980747396,0.308754492434425,0.303320837084872,0.242549062915014,0.242549062915014,0.240177853093036,0.240177853093036,274,206,101.940338427134,2.29216084778224,128,8805.15564027558,28,50,15,0.773369212824663,0.802550741733347,5062,490.423690630953,8497,368135,25.169055357238,18.4744525547445,17.7020833333333,3435,1.78571428571429,105.182178384514,221.134067200955,0.754578754578755
"792","8427","Unknown","Unknown","Unknown",1,25.7105141062493,172.905564106659,4.73919982070997,"N",1,3.2904295786454,0.0130954653422556,39.0213299177682,0.040612296359286,0.00388528865787185,0.00921017668438379,0,0,0,0,0.335895476831221,0.32533701418256,0.305179918737215,0.301103471025781,0.275142821614131,0.264270371784092,0.23553307386673,0.231978742656871,0.22767488442787,0.22767488442787,0.225713022436441,0.225713022436441,54,40,22.1623015873016,4.5797495025901,27,371.24095015015,11,16,6,0.546943212732686,0.576894410639569,340,73.5995610113316,533,2400,5.13443072702332,6.2962962962963,5.67021276595745,193,1.45454545454545,23.4905153868553,40.9079204283921,0.754716981132076
"793","8428","Unknown","Unknown","Unknown",1,26.1103583101842,172.290434509108,9.992356569565,"N",8,9.15129066890383,0.0513967334128181,117.901819107299,0.0734566248297927,0.0143339227119395,0.0158340820954827,0.0124937828569329,0.00873494574846302,0,0,0.292668972095894,0.288778645933705,0.272557874202366,0.271676024189406,0.275496602807713,0.267540229417138,0.233603179776002,0.232135730981304,0.0774241867519935,0.0774241867519935,0.0773468566582587,0.0773468566582587,169,131,70.8534774865657,3.40022497055476,81,2704.13887683396,18,34,10,0.675558822692078,0.722600685861012,1828,258.501327488451,3024,57788,10.9900213577956,10.8165680473373,10.08,1196,1.88888888888889,67.8407913787143,116.067648330158,0.779761904761905
"794","8429","Unknown","Unknown","Unknown",1,28.6570773159002,174.806062813648,7.79087765627,"N",4,6.54640814587941,0.0331095560194578,87.1105517540646,0.0501068184639613,0.00938455824028206,0.0115467278543181,0.0121782699248577,0,0,0,0.389367019475313,0.374826486853454,0.343973471749336,0.340532845571504,0.356592051296173,0.336821243874886,0.289470432420492,0.285158230727888,0.208117040800594,0.208117040800594,0.206617939075292,0.206617939075292,153,113,56.6810840904881,2.12860256255419,85,3273.81058981921,20,31,9,0.641666801272955,0.638885495030047,2138,274.018210629064,3507,77559,14.156179247298,13.9738562091503,13.1842105263158,1369,1.55,66.2936163552516,134.254623310413,0.743421052631579
"795","8430","Unknown","Unknown","Unknown",1,31.6435528350943,171.079492390648,15.483681364295,"N",4,4.73933728009401,0.128183959823353,262.922992009746,0.0837097358589027,0.0257125580191676,0.0846931703878608,0.00852857699788643,0.00924965441843814,0,0,0.514144967816161,0.494479793977219,0.434091906590203,0.428879539105444,0.391772553314719,0.370548080099298,0.316663233922455,0.311023998072393,0.384227959671403,0.384227959671403,0.374843499126772,0.374843499126772,518,372,193.165582864614,2.65677946847867,261,16268.2880841213,37,61,13,0.732871423906915,0.751585794474704,9475,859.754266805282,15659,996303,55.1215880800823,18.2915057915058,17.5943820224719,6184,1.64864864864865,192.476190668653,316.702700661107,0.719535783365571
"796","8431","ACERPS","Acer pseudoplatanus","Sycamore",1,36.4046744606414,176.275184686228,4.45565524448499,"N",0,4.09951556030764,0.0117651837300372,37.7978535798123,0.0400387453556323,0.00537237055297413,0.00569099532778005,0.000701817849283024,0,0,0,0.352480223807621,0.343507185625519,0.319695560182657,0.317900779468662,0.324533040623333,0.310878709815974,0.271819103574479,0.269281660220825,0.521428133832353,0.521428133832353,0.498118992643414,0.498118992643414,59,49,24.9655122655123,2.85120370326785,23,738.128479860218,13,11,3,0.628259000657326,0.68338895233357,530,104.98351415664,889,5132,10.5251364550417,8.98305084745763,8.23148148148148,359,0.846153846153846,25.2891062790548,54.1785646642469,0.844827586206897
"797","8432","Unknown","Unknown","Unknown",1,36.2584061530215,179.026480046823,7.1972181071,"N",1,9.27850235460973,0.0565378150175472,98.3885100978055,0.0747561103827939,0.00956315200539233,0.0273691118004208,0.0168033709124836,0.00280218029925051,0,0,0.276686514981182,0.272625489074575,0.253661424594266,0.252853775881024,0.293612089395148,0.284039038476667,0.247041204068221,0.245282024394879,0.183862023918158,0.183862023918158,0.182827856721861,0.182827856721861,140,111,57.8763110857151,2.58609411976595,66,2841.06677630002,20,29,6,0.697166703936881,0.71455658552115,1802,237.509275521172,3036,58616,17.6120408163265,12.8714285714286,12.0956175298805,1234,1.45,56.0855122409518,119.840605364607,0.798561151079137
"798","8433","Unknown","Unknown","Unknown",1,35.7688145232387,179.246899363219,4.05362977184499,"N",3,5.9610290991993,0.0191905439581828,51.1005232274059,0.0477402271166971,0.00650364562907505,0.0103370607620048,0.00234983756710289,0,0,0,0.255328446577985,0.24966754278413,0.234629373983093,0.233233442276138,0.272618423230384,0.265435612896448,0.232353593032687,0.230923284085651,0.139687181778986,0.139687181778986,0.139233350215421,0.139233350215421,70,58,29.7229908979909,4.05724303272451,28,860.795883115266,14,16,4,0.64357517751524,0.618626177140004,633,112.841014691473,1068,8780,11.755306122449,9.04285714285714,8.34375,435,1.14285714285714,27.2994816617905,57.6055659020262,0.840579710144927
